INC_IDENTIFIER,INCIDENT_NAME,DISCOVERY_DATE,FINAL_COST,POO_STATE_CODE,FINAL_BUILDINGS_DESTROYED,FINAL_BUILDINGS_DAMAGED,FINAL_AREA,MAX_BUILDINGS_THREATENED,MAX_PERSONNEL,MAX_EQUIPMENT
7293180.0,CENTRAL LNU COMPLEX,2017-10-09 07:45:00,102000000.0,6.0,7010.0,0.0,110720.0,36746.0,5422.0,875.0
4341337.0,GLENDALE,2016-01-29 17:00:00,250.0,40.0,3000.0,0.0,4.0,0.0,2.0,2.0
4452309.0,CHIMNEY TOPS 2,2016-11-23 16:20:00,8300000.0,47.0,2066.0,0.0,17859.0,2800.0,645.0,80.0
2915082.0,VALLEY,2015-09-12 15:25:00,56220000.0,6.0,1958.0,0.0,76067.0,9150.0,4383.0,724.0
2910134.0,BUTTE,2015-09-09 16:25:00,74720784.0,6.0,818.0,0.0,71780.0,6400.0,4961.0,810.0
7200218.0,SOUTHERN LNU COMPLEX,2017-10-09 07:45:00,48509895.0,6.0,783.0,0.0,77705.0,5000.0,3428.0,540.0
7220123.0,Mendocino Lake Complex,2017-10-09 01:36:00,25000000.0,6.0,706.0,0.0,38730.0,1000.0,2416.0,302.0
638842.0,CARLTON COMPLEX,2014-07-14 14:38:00,68800000.0,53.0,471.0,0.0,299897.0,1103.0,3142.0,383.0
7211316.0,NEU WIND COMPLEX,2017-10-09 07:52:00,15590000.0,6.0,398.0,0.0,17235.0,0.0,1617.0,261.0
393382.0,Double Diamond,2014-05-11 17:15:00,0.0,48.0,374.0,1.0,2583.0,1300.0,50.0,10.0
4363375.0,BLUE CUT,2016-08-16 12:44:00,20000.0,6.0,321.0,0.0,37020.0,611.0,2684.0,402.0
4314126.0,CLAYTON,2016-08-13 18:58:00,18580412.0,6.0,300.0,0.0,4000.0,1500.0,2372.0,375.0
4246487.0,ERSKINE,2016-06-23 17:57:00,23000000.0,6.0,286.0,0.0,48019.0,2500.0,2079.0,282.0
986076.0,BOLES,2014-09-15 15:34:00,7009478.0,6.0,239.0,0.0,516.0,1100.0,1112.0,175.0
7222114.0,Sulfur,2017-10-09 03:30:00,0.0,6.0,205.0,1720.0,2500.0,1720.0,189.0,35.0
7211294.0,CASCADE,2017-10-09 01:02:00,2000000.0,6.0,200.0,1000.0,8200.0,1000.0,0.0,0.0
7418460.0,LILAC 5,2017-12-07 13:15:00,12998946.0,6.0,157.0,0.0,4100.0,1500.0,1659.0,249.0
2931055.0,Okanogan Complex,2015-08-14 12:25:00,46296090.0,53.0,152.0,0.0,304782.0,7400.0,1918.0,312.0
7155675.0,NW Oklahoma Complex,2017-03-07 13:47:41,3200000.0,40.0,151.0,1450.0,782333.0,1450.0,371.0,127.0
7153158.0,CR630 E,2017-02-15 11:15:00,0.0,12.0,142.0,0.0,5550.0,0.0,24.0,18.0
2942070.0,Hidden Pines,2015-10-13 12:46:00,0.0,48.0,141.0,95.0,4582.0,406.0,339.0,59.0
7325132.0,HELENA,2017-08-30 19:05:00,30640000.0,6.0,133.0,0.0,21968.0,5250.0,1567.0,203.0
7170139.0,DETWILER,2017-07-16 18:20:00,90000000.0,6.0,131.0,0.0,81826.0,1500.0,5128.0,801.0
7212083.0,ATLAS,2017-10-08 23:52:00,1200000.0,6.0,125.0,5000.0,25000.0,5000.0,476.0,83.0
7411502.0,CREEK,2017-12-05 05:42:29,17577000.0,6.0,123.0,2500.0,15619.0,2500.0,2295.0,308.0
2920368.0,CLEARWATER/MUNICIPAL COMPLEX,2015-08-10 15:17:00,25175905.0,16.0,118.0,0.0,83243.0,1670.0,859.0,134.0
4451885.0,COBBLY NOB,2016-11-28 17:30:00,356027.0,47.0,108.0,0.0,819.0,0.0,155.0,23.0
2743187.0,ROCKY,2015-07-29 17:29:00,46100000.0,6.0,96.0,0.0,69636.0,6959.0,3635.0,543.0
7192643.0,WALL,2017-07-07 16:52:00,14827826.0,6.0,91.0,0.0,6033.0,5400.0,1696.0,303.0
7293073.0,Redwood Valley Incident,2017-10-09 02:30:00,0.0,6.0,90.0,100.0,21000.0,100.0,358.0,58.0
983669.0,KING,2014-09-13 18:37:00,119000000.0,6.0,80.0,0.0,97717.0,21000.0,8061.0,1012.0
4374144.0,Timberon,2016-07-13 16:46:00,877000.0,35.0,76.0,0.0,290.0,100.0,140.0,31.0
4367985.0,CHIMNEY,2016-08-13 18:00:00,78300000.0,6.0,70.0,10.0,46344.0,1898.0,4106.0,576.0
4327598.0,SOBERANES,2016-07-22 10:48:00,262500000.0,6.0,68.0,0.0,132127.0,2000.0,5636.0,801.0
702211.0,SAND,2014-07-25 18:34:00,875500.0,6.0,67.0,0.0,4240.0,515.0,1937.0,338.0
4262033.0,Dog Head,2016-06-14 12:33:00,10803337.0,35.0,56.0,0.0,17912.0,1850.0,995.0,129.0
2828810.0,Sockeye,2015-06-14 16:13:32,8243785.0,2.0,55.0,1455.0,7555.0,3060.0,773.0,52.0
4258135.0,Anderson Creek Fire,2016-03-23 12:46:00,1750000.0,40.0,54.0,0.0,400000.0,10000.0,398.0,154.0
2870956.0,CANYON CREEK COMPLEX,2015-08-12 09:30:00,31453602.0,41.0,53.0,0.0,110422.0,700.0,1026.0,166.0
982413.0,COURTNEY,2014-09-14 15:45:00,4400000.0,6.0,49.0,0.0,320.0,400.0,631.0,136.0
849094.0,JUNCTION,2014-08-18 15:50:00,4917095.05,6.0,47.0,0.0,1200.0,2203.0,1386.0,182.0
2906716.0,Chelan Complex,2015-08-14 15:04:00,10000000.0,53.0,47.0,0.0,94301.0,2339.0,963.0,148.0
2739752.0,Round,2015-02-06 16:00:00,2400000.0,6.0,43.0,0.0,7000.0,100.0,487.0,67.0
402977.0,San Diego Complex,2014-05-14 14:15:00,11519214.0,6.0,43.0,0.0,2906.0,1500.0,1323.0,221.0
2953359.0,STATION,2015-10-11 11:04:00,945056.0,56.0,42.0,392.0,10116.0,392.0,113.0,37.0
7310736.0,Canal Groves,2017-04-07 13:30:00,0.0,12.0,42.0,6.0,125.0,6.0,7.0,6.0
379322.0,Guthrie,2014-05-04 16:30:00,0.0,40.0,42.0,0.0,3250.0,500.0,32.0,15.0
2938854.0,CARPENTER RD.,2015-08-14 21:57:00,22650000.0,53.0,42.0,0.0,65346.0,1005.0,1041.0,147.0
7341939.0,Caribou,2017-08-11 11:51:00,11730000.0,30.0,40.0,0.0,24753.0,400.0,403.0,69.0
4357234.0,Little Valley,2016-10-14 04:25:00,8473949.0,32.0,40.0,0.0,3400.0,200.0,1007.0,161.0
4295793.0,HART,2016-08-21 16:42:00,1890000.0,53.0,39.0,0.0,4983.0,605.0,378.0,66.0
2876454.0,Reach,2015-08-14 07:57:00,1290082.0,53.0,38.0,500.0,84855.0,2850.0,589.0,125.0
7142148.0,Raceway Park,2017-03-06 14:56:00,0.0,20.0,36.0,0.0,2326.0,0.0,60.0,32.0
630309.0,MOCCASIN HILL,2014-07-13 15:11:00,3264201.0,41.0,35.0,0.0,2535.0,0.0,748.0,81.0
2878511.0,GRIZZLY BEAR COMPLEX,2015-08-13 16:55:00,20968610.0,53.0,35.0,0.0,83148.01,470.0,1116.0,182.0
7161976.0,Goodwin,2017-06-24 17:48:00,14665879.0,4.0,33.0,1400.0,28516.0,1400.0,1223.0,179.0
2814691.0,SLEEPY HOLLOW,2015-06-28 16:37:00,4000000.0,53.0,32.0,0.0,4000.0,0.0,391.0,64.0
7269467.0,LODGEPOLE COMPLEX,2017-07-20 16:17:14,9800000.0,30.0,31.0,0.0,270743.0,345.0,656.0,123.0
7265708.0,Chetco Bar,2017-07-12 15:43:00,72000000.0,41.0,30.0,0.0,191125.0,12286.0,1744.0,267.0
4306825.0,LOMA,2016-09-26 16:43:00,16300000.0,6.0,28.0,0.0,4474.0,325.0,2104.0,325.0
499672.0,Assayi Lake,2014-06-13 16:20:00,8126122.0,35.0,28.0,135.0,14712.0,135.0,867.0,75.0
7369096.0,Oil Well,2017-07-17 15:31:00,1200000.0,32.0,28.0,0.0,7500.0,200.0,330.0,60.0
408725.0,Poinsettia,2014-05-14 12:38:00,0.0,6.0,28.0,0.0,600.0,0.0,16.0,5.0
2857198.0,JERUSALEM,2015-08-09 17:34:00,25000000.0,6.0,27.0,0.0,25156.0,50.0,2451.0,305.0
7355010.0,Brianhead,2017-06-17 13:13:00,36600000.0,49.0,26.0,0.0,71673.0,1506.0,1831.0,174.0
4362536.0,Junkins,2016-10-17 04:56:00,18403.0,8.0,26.0,0.0,18423.0,745.0,918.0,81.0
7207389.0,CANYON 2,2017-10-09 11:31:00,13725000.0,6.0,25.0,0.0,9217.0,5000.0,1660.0,310.0
4381708.0,Windy Ridge,2015-08-11 10:56:00,6010000.0,41.0,25.0,0.0,103887.0,462.0,677.0,83.0
344202.0,Trails End,2014-04-10 12:30:00,10000.0,42.0,24.0,52.0,7.0,52.0,109.0,28.0
2730098.0,Boiling Springs Fire,2015-03-16 12:00:00,250000.0,40.0,24.0,0.0,23488.0,0.0,64.0,29.0
4352841.0,Cayuse Mtn.,2016-08-21 19:00:00,3848780.0,53.0,23.0,1535.0,18417.0,1535.0,451.0,58.0
2769822.0,NORTH,2015-07-17 18:04:00,2950000.0,6.0,23.0,0.0,4250.0,700.0,835.0,102.0
7191979.0,MONUMENT HILL,2017-08-16 22:19:00,598300.0,53.0,23.0,175.0,6255.0,175.0,122.0,44.0
750232.0,SNAG CANYON,2014-08-02 20:55:00,14686320.0,53.0,22.0,0.0,12667.0,279.0,894.0,142.0
7228286.0,Sapphire Complex,2017-07-24 16:18:14,35406736.0,30.0,21.0,0.0,43753.0,315.0,663.0,86.0
7146411.0,Garfield Road,2017-03-22 14:00:00,83367.0,12.0,21.0,3.0,705.0,3.0,5.0,5.0
743191.0,EILER,2014-07-31 18:04:00,26334929.0,6.0,21.0,0.0,32416.0,705.0,1990.0,313.0
621849.0,BULLY,2014-07-11 17:41:00,23865759.0,6.0,20.0,0.0,12661.0,100.0,2381.0,294.0
2951957.0,TASSAJARA,2015-09-19 17:00:00,7000000.0,6.0,20.0,0.0,1200.0,0.0,779.0,98.0
4338325.0,SAND,2016-07-22 04:14:00,35000000.0,6.0,20.0,0.0,41432.0,10300.0,3379.0,554.0
2877328.0,First Creek,2015-08-14 07:44:00,5099569.0,53.0,19.0,0.0,7702.0,556.0,285.0,44.0
7142555.0,Logan,2017-03-06 12:51:00,125000.0,8.0,19.0,0.0,32564.0,115.0,90.0,28.0
2843416.0,PARKHILL,2015-06-20 16:33:00,3500000.0,6.0,18.0,0.0,1800.0,100.0,642.0,84.0
7207092.0,POINT,2017-10-09 03:00:00,260000.0,6.0,18.0,0.0,130.0,0.0,279.0,48.0
2912516.0,COLVILLE COMPLEX,2015-08-14 11:00:00,0.0,53.0,18.0,449.0,11522.0,449.0,486.0,68.0
2867226.0,MARBLE VALLEY,2015-08-14 18:46:00,1300000.0,53.0,18.0,0.0,3100.0,326.0,227.0,26.0
2874885.0,Willow,2015-08-08 12:24:00,1600000.0,4.0,18.0,0.0,6083.0,710.0,234.0,29.0
4386426.0,Cornet,2015-08-10 17:58:00,1252264.0,41.0,17.0,0.0,56331.0,331.0,457.0,59.0
7329935.0,RAILROAD,2017-08-29 14:19:00,21500000.0,6.0,17.0,0.0,12407.0,511.0,1079.0,166.0
4398686.0,SPOKANE COMPLEX,2016-08-21 20:28:00,,53.0,17.0,0.0,6358.0,303.0,691.0,125.0
4282979.0,BEAVER CREEK,2016-06-19 17:47:00,31000000.0,8.0,17.0,1.0,38380.0,131.0,504.0,61.0
4323012.0,Cold Springs,2016-07-09 14:45:00,3500000.0,8.0,16.0,0.0,606.0,1000.0,544.0,69.0
2797634.0,SWEDES,2015-07-29 13:21:00,1600000.0,6.0,16.0,0.0,550.0,80.0,408.0,68.0
4359399.0,KARA CREEK,2016-06-24 21:05:00,1000000.0,56.0,16.0,240.0,13073.0,240.0,203.0,36.0
4249863.0,Border 3,2016-06-19 13:00:00,19500000.0,6.0,16.0,0.0,7609.0,1000.0,1969.0,289.0
249140.0,Colby,2014-01-16 08:00:00,6999000.0,6.0,15.0,0.0,1952.0,0.0,489.0,53.0
738768.0,Beaver Complex,2014-07-30 22:00:00,22220837.0,41.0,15.0,0.0,36723.0,320.0,1785.0,211.0
4342706.0,Fenceline,2016-03-06 12:00:00,0.0,12.0,14.0,0.0,77.0,0.0,2.0,2.0
4250912.0,Escondida,2016-06-10 15:42:00,250000.0,35.0,14.0,0.0,1000.0,85.0,175.0,27.0
4256780.0,Pharoah,2016-02-18 11:00:00,150000.0,40.0,14.0,0.0,21840.0,50.0,49.0,24.0
4350423.0,GAP,2016-08-27 21:50:00,29700000.0,6.0,14.0,0.0,33867.0,160.0,2118.0,236.0
7134172.0,ALAMO,2017-07-06 17:44:00,19900000.0,6.0,14.0,0.0,28926.0,133.0,2218.0,327.0
4291041.0,I40,2016-03-23 16:18:00,0.0,48.0,14.0,200.0,15174.0,200.0,14.0,6.0
7190943.0,ROACH,2017-07-07 21:41:00,1000000.0,4.0,14.0,180.0,1000.0,180.0,273.0,42.0
4438314.0,Beulah Hill,2016-10-03 14:04:00,1785142.0,8.0,14.0,0.0,5232.0,750.0,327.0,46.0
7390372.0,Sterling,2017-04-08 14:15:00,40519.0,12.0,14.0,0.0,165.0,0.0,30.0,19.0
2802556.0,Cape Horn,2015-07-05 14:24:00,6077803.0,16.0,14.0,0.0,1380.0,297.0,510.0,68.0
4259250.0,High Line,2016-01-30 12:31:00,0.0,48.0,13.0,97.0,700.0,97.0,19.0,6.0
7284456.0,Highlands,2017-03-07 09:00:00,693544.0,20.0,13.0,0.0,5585.0,1100.0,127.0,45.0
2753601.0,FORK COMPLEX,2015-07-31 00:33:00,51700000.0,6.0,12.0,0.0,36499.0,1230.0,2518.0,397.0
850496.0,WAY,2014-08-18 17:30:00,6900000.0,6.0,12.0,0.0,4045.0,1500.0,900.0,110.0
2855788.0,MUNICIPAL COMPLEX,2015-08-18 10:46:00,8647895.0,16.0,12.0,320.0,23483.0,320.0,508.0,72.0
2837946.0,Blue Creek,2015-07-20 14:39:00,10200000.0,53.0,12.0,0.0,6225.0,250.0,1024.0,152.0
4434897.0,Virginia Mountains Complex,2016-07-29 10:58:35,8000200.0,32.0,12.0,0.0,59727.0,202.0,794.0,75.0
7211256.0,MCCOURTNEY,2017-10-09 01:50:00,100000.0,6.0,12.0,12.0,72.0,12.0,0.0,0.0
2900293.0,Municipal,2015-08-14 19:53:00,875000.0,16.0,11.0,202.0,1872.0,302.0,133.0,32.0
980394.0,BLACK,2014-09-13 17:45:00,1159000.0,6.0,11.0,0.0,417.0,0.0,518.0,80.0
2805998.0,231,2015-07-03 17:05:00,2900000.0,53.0,11.0,0.0,1070.0,125.0,266.0,51.0
4378641.0,Burmac,2016-03-23 17:17:00,0.0,20.0,11.0,0.0,14000.0,0.0,500.0,87.0
4254369.0,16 Mile,2016-04-20 08:44:00,1600000.0,42.0,11.0,287.0,8032.0,287.0,124.0,27.0
7161319.0,Perryton,2017-03-06 15:49:00,1.0,48.0,11.0,0.0,318156.0,200.0,60.0,22.0
